date,open,high,low,adjClose,value,volume,count,yesterday,close
2013-12-16,10160.0,10160.0,10160.0,10160.0,167801300000,16780130,3508,10160.0,10160.0
2013-12-17,10160.0,10160.0,10160.0,10160.0,64871920000,6487192,1585,10160.0,10160.0
2013-12-18,10160.0,10160.0,10160.0,10160.0,46226010000,4622601,1131,10160.0,10160.0
2013-12-21,10160.0,10160.0,10160.0,10160.0,59571970000,5957197,1162,10160.0,10160.0
2013-12-22,10160.0,10160.0,10160.0,10160.0,201668040000,20166804,2739,10160.0,10160.0
2014-01-08,10314.0,10314.0,10171.0,10298.0,12106933775,1194451,582,10160.0,10211.0
2014-01-11,10298.0,10301.0,10160.0,10176.0,17913406587,1788437,740,10298.0,10160.0
2014-01-12,10160.0,10160.0,9654.0,9916.0,13482462892,1381458,475,10176.0,9703.0
2014-01-13,10140.0,10160.0,10060.0,10147.0,5362607863,536941,369,9916.0,10158.0
2014-01-14,10160.0,10175.0,10008.0,10129.0,5578481129,559577,345,10147.0,10099.0
2014-01-15,10099.0,10099.0,9906.0,9972.0,3720435880,379057,258,10129.0,9987.0
2014-01-18,9998.0,10006.0,9855.0,9923.0,6680261914,683949,260,9972.0,9906.0
2014-01-20,9937.0,10003.0,9398.0,9777.0,7731339878,803426,396,9923.0,9805.0
2014-01-21,9804.0,9845.0,9703.0,9788.0,2814633051,292169,181,9777.0,9703.0
2014-01-22,9784.0,9854.0,9673.0,9755.0,8601213776,895840,222,9788.0,9805.0
2014-01-26,9755.0,9756.0,9755.0,9755.0,4582490203,477293,185,9755.0,9755.0
2014-01-27,9652.0,9703.0,9490.0,9574.0,7751794561,822615,253,9755.0,9703.0
2014-01-28,9754.0,9957.0,9754.0,9835.0,2198532069,227119,160,9574.0,9828.0
2014-01-29,9886.0,10059.0,9855.0,9985.0,4512507842,459145,214,9835.0,10040.0
2014-02-01,10040.0,10262.0,10024.0,10107.0,3472694382,349096,255,9985.0,10262.0
2014-02-02,10282.0,10282.0,9978.0,10073.0,2445862908,246707,124,10107.0,9978.0
2014-02-03,9957.0,9957.0,9866.0,9918.0,2667349177,273228,123,10073.0,9896.0
2014-02-04,9977.0,10057.0,9936.0,9959.0,1478826211,150872,90,9918.0,9977.0
2014-02-05,9906.0,9906.0,9723.0,9788.0,2859544385,296824,99,9959.0,9754.0
2014-02-08,9723.0,9723.0,9551.0,9597.0,11725142067,1241324,218,9788.0,9581.0
2014-02-09,9551.0,9612.0,9462.0,9500.0,1520623697,162629,108,9597.0,9607.0
2014-02-10,9500.0,9500.0,9337.0,9397.0,2223227391,240367,105,9500.0,9337.0
2014-02-12,9397.0,9397.0,9114.0,9174.0,7686226436,851270,159,9397.0,9144.0
2014-02-15,8992.0,9297.0,8992.0,9155.0,3065466806,340181,125,9174.0,9246.0
2014-02-16,9164.0,9613.0,9164.0,9512.0,4186740875,447221,182,9155.0,9613.0
2014-02-17,9754.0,9835.0,9297.0,9714.0,10379746416,1085614,278,9512.0,9523.0
2014-02-18,9558.0,9558.0,9368.0,9441.0,1328489743,142969,80,9714.0,9444.0
2014-02-19,9470.0,9625.0,9470.0,9557.0,990210874,105275,99,9441.0,9606.0
2014-02-22,9652.0,9845.0,9571.0,9710.0,1262996868,132159,110,9557.0,9744.0
2014-02-23,9673.0,9673.0,9562.0,9609.0,1297043369,137133,115,9710.0,9592.0
2014-02-24,9500.0,9549.0,9429.0,9466.0,1395237050,149748,84,9609.0,9429.0
2014-02-25,9486.0,9486.0,9327.0,9387.0,2548328311,275835,96,9466.0,9429.0
2014-02-26,9399.0,9450.0,9286.0,9334.0,4154066206,452159,162,9387.0,9449.0
2014-03-01,9490.0,9500.0,9398.0,9452.0,1528548123,164308,75,9334.0,9474.0
2014-03-02,9434.0,9529.0,9327.0,9383.0,2104870292,227918,93,9452.0,9434.0
